#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.93e+01      4.04e-01      9.25e-01    1.0e-03
   1000      8.96e+00      3.79e-02      2.83e-01    1.0e-03
   2000      7.41e+00      4.41e-02      2.34e-01    1.0e-03
   3000      6.39e+00      1.03e-01      2.02e-01    1.0e-03
   4000      4.86e+00      2.58e-02      1.54e-01    1.0e-03
   5000      3.64e+00      4.70e-02      1.15e-01    9.9e-04
   6000      4.58e+00      1.28e-02      1.45e-01    9.9e-04
   7000      4.77e+00      1.25e-02      1.51e-01    9.9e-04
   8000      4.49e+00      1.08e-02      1.42e-01    9.9e-04
   9000      4.34e+00      3.22e-02      1.38e-01    9.9e-04
  10000      4.73e+00      1.26e-02      1.51e-01    9.9e-04
  11000      3.28e+00      2.23e-02      1.04e-01    9.9e-04
  12000      4.25e+00      3.43e-03      1.35e-01    9.9e-04
  13000      4.10e+00      2.12e-02      1.30e-01    9.9e-04
  14000      3.53e+00      2.35e-02      1.12e-01    9.9e-04
  15000      3.02e+00      1.18e-02      9.63e-02    9.8e-04
  16000      2.84e+00      2.33e-02      9.07e-02    9.8e-04
  17000      5.66e+00      5.16e-03      1.80e-01    9.8e-04
  18000      3.10e+00      4.77e-04      9.87e-02    9.8e-04
  19000      3.56e+00      4.02e-03      1.14e-01    9.8e-04
  20000      2.81e+00      3.87e-02      9.00e-02    9.8e-04
  21000      3.20e+00      1.43e-02      1.02e-01    9.8e-04
  22000      2.60e+00      1.32e-02      8.31e-02    9.8e-04
  23000      3.30e+00      7.48e-03      1.06e-01    9.8e-04
  24000      3.08e+00      1.33e-02      9.86e-02    9.8e-04
  25000      2.40e+00      5.96e-03      7.72e-02    9.7e-04
  26000      3.49e+00      1.88e-02      1.12e-01    9.7e-04
  27000      2.93e+00      1.82e-03      9.39e-02    9.7e-04
  28000      3.44e+00      9.48e-03      1.10e-01    9.7e-04
  29000      4.86e+00      3.74e-03      1.56e-01    9.7e-04
  30000      3.04e+00      2.35e-02      9.78e-02    9.7e-04
  31000      3.13e+00      7.36e-03      1.01e-01    9.7e-04
  32000      3.34e+00      1.43e-02      1.07e-01    9.7e-04
  33000      4.19e+00      1.08e-02      1.35e-01    9.7e-04
  34000      3.79e+00      2.68e-02      1.22e-01    9.7e-04
  35000      2.93e+00      1.15e-02      9.45e-02    9.6e-04
  36000      2.64e+00      1.50e-02      8.53e-02    9.6e-04
  37000      2.60e+00      1.75e-02      8.39e-02    9.6e-04
  38000      3.74e+00      4.88e-03      1.21e-01    9.6e-04
  39000      2.90e+00      3.66e-03      9.35e-02    9.6e-04
  40000      2.64e+00      2.40e-02      8.53e-02    9.5e-04
  41000      3.16e+00      1.82e-02      1.02e-01    9.5e-04
  42000      3.20e+00      3.17e-02      1.04e-01    9.5e-04
  43000      2.60e+00      9.62e-03      8.40e-02    9.5e-04
  44000      3.10e+00      1.41e-02      1.00e-01    9.5e-04
  45000      2.53e+00      4.97e-03      8.21e-02    9.5e-04
  46000      3.23e+00      7.14e-03      1.05e-01    9.5e-04
  47000      2.35e+00      1.08e-02      7.64e-02    9.5e-04
  48000      2.79e+00      9.09e-03      9.06e-02    9.5e-04
  49000      3.63e+00      1.19e-02      1.18e-01    9.5e-04
  50000      2.00e+00      1.30e-02      6.50e-02    9.4e-04
  51000      3.07e+00      1.45e-02      1.00e-01    9.4e-04
  52000      2.58e+00      3.98e-03      8.38e-02    9.4e-04
  53000      2.64e+00      1.61e-02      8.58e-02    9.4e-04
  54000      2.52e+00      2.39e-02      8.18e-02    9.4e-04
  55000      3.70e+00      6.01e-03      1.21e-01    9.4e-04
  56000      2.46e+00      1.80e-02      8.03e-02    9.4e-04
  57000      2.60e+00      3.49e-03      8.48e-02    9.4e-04
  58000      2.46e+00      8.29e-03      8.03e-02    9.4e-04
  59000      2.48e+00      4.34e-03      8.09e-02    9.4e-04
  60000      2.51e+00      1.04e-02      8.22e-02    9.3e-04
  61000      2.54e+00      2.18e-02      8.30e-02    9.3e-04
  62000      2.34e+00      2.25e-03      7.65e-02    9.3e-04
  63000      2.19e+00      7.12e-03      7.16e-02    9.3e-04
  64000      2.58e+00      2.15e-02      8.45e-02    9.3e-04
  65000      2.71e+00      3.52e-03      8.90e-02    9.3e-04
  66000      2.63e+00      1.06e-02      8.64e-02    9.3e-04
  67000      2.05e+00      2.27e-02      6.72e-02    9.3e-04
  68000      4.04e+00      4.36e-03      1.33e-01    9.3e-04
  69000      2.63e+00      2.83e-02      8.63e-02    9.3e-04
  70000      2.96e+00      1.66e-03      9.75e-02    9.2e-04
  71000      2.24e+00      4.10e-03      7.39e-02    9.2e-04
  72000      2.66e+00      1.14e-02      8.76e-02    9.2e-04
  73000      2.48e+00      2.79e-02      8.17e-02    9.2e-04
  74000      2.32e+00      1.57e-02      7.63e-02    9.2e-04
  75000      2.44e+00      2.77e-03      8.04e-02    9.2e-04
  76000      2.26e+00      2.59e-02      7.45e-02    9.2e-04
  77000      2.12e+00      7.18e-03      7.00e-02    9.2e-04
  78000      2.27e+00      1.80e-04      7.50e-02    9.2e-04
  79000      2.53e+00      1.76e-02      8.34e-02    9.2e-04
  80000      1.94e+00      1.29e-02      6.42e-02    9.1e-04
  81000      2.55e+00      8.75e-03      8.43e-02    9.1e-04
  82000      2.71e+00      3.82e-03      8.98e-02    9.1e-04
  83000      2.73e+00      1.55e-02      9.04e-02    9.1e-04
  84000      2.01e+00      1.42e-02      6.64e-02    9.1e-04
  85000      2.37e+00      1.30e-02      7.86e-02    9.1e-04
  86000      2.47e+00      8.80e-04      8.19e-02    9.1e-04
  87000      2.15e+00      1.32e-02      7.13e-02    9.1e-04
  88000      2.12e+00      1.53e-02      7.04e-02    9.1e-04
  89000      2.36e+00      2.72e-02      7.83e-02    9.1e-04
  90000      2.16e+00      2.11e-03      7.20e-02    9.0e-04
  91000      2.51e+00      1.85e-03      8.36e-02    9.0e-04
  92000      2.12e+00      1.78e-02      7.06e-02    9.0e-04
  93000      1.99e+00      4.47e-03      6.62e-02    9.0e-04
  94000      2.15e+00      2.18e-02      7.14e-02    9.0e-04
  95000      3.02e+00      1.23e-02      1.01e-01    9.0e-04
  96000      2.55e+00      7.79e-03      8.53e-02    9.0e-04
  97000      2.48e+00      8.13e-03      8.27e-02    9.0e-04
  98000      2.55e+00      9.87e-03      8.53e-02    9.0e-04
  99000      1.66e+00      3.53e-03      5.56e-02    9.0e-04
 100000      2.31e+00      5.99e-03      7.72e-02    8.9e-04
 101000      2.19e+00      2.75e-02      7.33e-02    8.9e-04
 102000      2.61e+00      1.74e-02      8.75e-02    8.9e-04
 103000      1.92e+00      2.18e-03      6.42e-02    8.9e-04
 104000      2.25e+00      1.70e-02      7.53e-02    8.9e-04
 105000      2.56e+00      1.77e-02      8.61e-02    8.9e-04
 106000      2.47e+00      3.47e-04      8.29e-02    8.9e-04
 107000      2.00e+00      8.32e-03      6.73e-02    8.9e-04
 108000      2.08e+00      5.44e-03      6.99e-02    8.9e-04
 109000      2.78e+00      1.82e-02      9.33e-02    8.9e-04
 110000      2.06e+00      2.03e-02      6.92e-02    8.8e-04
 111000      2.21e+00      1.94e-02      7.44e-02    8.8e-04
 112000      2.14e+00      1.04e-02      7.21e-02    8.8e-04
 113000      2.22e+00      4.90e-03      7.46e-02    8.8e-04
 114000      2.23e+00      1.74e-03      7.50e-02    8.8e-04
 115000      2.29e+00      2.98e-03      7.74e-02    8.8e-04
 116000      1.97e+00      1.42e-02      6.66e-02    8.8e-04
 117000      3.26e+00      4.42e-03      1.10e-01    8.8e-04
 118000      2.29e+00      3.01e-03      7.74e-02    8.8e-04
 119000      2.26e+00      7.16e-03      7.64e-02    8.8e-04
 120000      2.23e+00      8.62e-03      7.56e-02    8.7e-04
 121000      2.14e+00      1.20e-02      7.24e-02    8.7e-04
 122000      2.26e+00      4.57e-03      7.67e-02    8.7e-04
 123000      1.99e+00      1.19e-02      6.74e-02    8.7e-04
 124000      1.94e+00      7.88e-03      6.57e-02    8.7e-04
 125000      2.32e+00      7.54e-03      7.89e-02    8.7e-04
 126000      2.26e+00      3.67e-03      7.68e-02    8.7e-04
 127000      2.09e+00      1.28e-03      7.09e-02    8.7e-04
 128000      2.32e+00      2.63e-03      7.87e-02    8.7e-04
 129000      1.81e+00      1.70e-02      6.13e-02    8.7e-04
 130000      2.38e+00      1.91e-02      8.10e-02    8.6e-04
 131000      2.08e+00      2.03e-02      7.08e-02    8.6e-04
 132000      2.27e+00      1.78e-02      7.74e-02    8.6e-04
 133000      2.03e+00      9.00e-03      6.91e-02    8.6e-04
 134000      2.33e+00      1.22e-02      7.92e-02    8.6e-04
 135000      2.25e+00      1.75e-03      7.71e-02    8.6e-04
 136000      2.42e+00      4.77e-04      8.29e-02    8.6e-04
 137000      2.30e+00      9.37e-03      7.84e-02    8.6e-04
 138000      1.78e+00      7.38e-03      6.07e-02    8.6e-04
 139000      2.96e+00      5.30e-03      1.01e-01    8.6e-04
 140000      2.01e+00      4.87e-03      6.90e-02    8.5e-04
 141000      1.78e+00      1.35e-02      6.09e-02    8.5e-04
 142000      1.71e+00      7.47e-03      5.87e-02    8.5e-04
 143000      2.35e+00      4.79e-03      8.04e-02    8.5e-04
 144000      1.87e+00      8.91e-03      6.42e-02    8.5e-04
 145000      1.99e+00      1.39e-02      6.82e-02    8.5e-04
 146000      2.13e+00      4.89e-03      7.31e-02    8.5e-04
 147000      1.98e+00      3.95e-03      6.81e-02    8.5e-04
 148000      2.37e+00      5.94e-03      8.15e-02    8.5e-04
 149000      2.14e+00      7.41e-03      7.35e-02    8.5e-04
 150000      2.05e+00      3.97e-02      7.01e-02    8.4e-04
 151000      1.84e+00      2.33e-03      6.36e-02    8.4e-04
 152000      1.97e+00      2.09e-02      6.78e-02    8.4e-04
 153000      2.18e+00      2.54e-02      7.48e-02    8.4e-04
 154000      1.94e+00      1.50e-04      6.69e-02    8.4e-04
 155000      3.26e+00      1.69e-03      1.13e-01    8.4e-04
 156000      1.87e+00      1.39e-02      6.46e-02    8.4e-04
 157000      1.76e+00      7.07e-03      6.07e-02    8.4e-04
 158000      2.18e+00      3.35e-03      7.55e-02    8.4e-04
 159000      2.40e+00      1.96e-02      8.29e-02    8.4e-04
 160000      2.12e+00      7.44e-03      7.36e-02    8.3e-04
 161000      2.02e+00      1.96e-03      6.99e-02    8.3e-04
 162000      2.22e+00      8.74e-03      7.71e-02    8.3e-04
 163000      2.29e+00      2.48e-02      7.94e-02    8.3e-04
 164000      1.97e+00      1.32e-03      6.84e-02    8.3e-04
 165000      2.13e+00      9.79e-03      7.42e-02    8.3e-04
 166000      1.86e+00      7.94e-03      6.46e-02    8.3e-04
 167000      1.83e+00      3.20e-03      6.35e-02    8.3e-04
 168000      2.14e+00      2.38e-04      7.43e-02    8.3e-04
 169000      2.48e+00      1.72e-02      8.61e-02    8.3e-04
 170000      1.77e+00      2.75e-02      6.15e-02    8.2e-04
 171000      1.94e+00      9.78e-03      6.77e-02    8.2e-04
 172000      1.82e+00      1.07e-02      6.34e-02    8.2e-04
 173000      2.22e+00      2.37e-05      7.73e-02    8.2e-04
 174000      2.22e+00      1.33e-02      7.74e-02    8.2e-04
 175000      1.59e+00      1.04e-02      5.57e-02    8.2e-04
 176000      1.83e+00      8.11e-03      6.41e-02    8.2e-04
 177000      1.93e+00      2.15e-02      6.74e-02    8.2e-04
 178000      1.96e+00      2.38e-02      6.83e-02    8.2e-04
 179000      1.95e+00      4.60e-03      6.83e-02    8.2e-04
 180000      2.09e+00      5.82e-03      7.34e-02    8.1e-04
 181000      2.54e+00      2.23e-03      8.90e-02    8.1e-04
 182000      2.07e+00      4.07e-03      7.26e-02    8.1e-04
 183000      2.00e+00      1.31e-02      7.00e-02    8.1e-04
 184000      2.07e+00      1.35e-03      7.25e-02    8.1e-04
 185000      1.65e+00      2.22e-02      5.79e-02    8.1e-04
 186000      1.99e+00      9.40e-03      7.01e-02    8.1e-04
 187000      1.73e+00      4.87e-03      6.09e-02    8.1e-04
 188000      3.30e+00      9.24e-04      1.16e-01    8.1e-04
 189000      1.79e+00      2.50e-03      6.29e-02    8.1e-04
 190000      1.78e+00      2.74e-02      6.24e-02    8.0e-04
 191000      1.94e+00      3.10e-02      6.81e-02    8.0e-04
 192000      2.09e+00      1.08e-02      7.37e-02    8.0e-04
